school,country
"浙江大学","China"
"南方医科大学","China"
"广东食品药品职业学院","China"
"华中农业大学","China"
"海南大学","China"
"晋中信息学院","China"
"湖北大学","China"
"福建医科大学","China"
"空军军医大学","China"
"四川大学","China"
"华东师范大学","China"
"华南农业大学","China"
"西湖大学/北京中关村学院","China"
"湘潭大学","China"
"厦门大学","China"
"上海科技大学","China"
"Zhujiang Hospital, Southern Medical University","China"
"西北农林科技大学动物医学院","China"
"西藏大学生态环境学院","China"
"浙江大学生命科学学院","China"
"哈尔滨工业大学","China"
"University of California, San Diego","China"
"西湖大学","China"
"PUMC","China"
"深圳理工大学","China"
"齐鲁工业大学（山东省科学院）","China"
"Purdue University","China"
"山西农业大学","China"
"昌平实验室","China"
"安徽医科大学第一附属医院","China"
"齐鲁工业大学","China"
"中南财经政法大学","China"
"华中科技大学","China"
"深圳北理莫斯科大学","China"
"长春理工大学","China"
"山东大学","China"
"中国药科大学","China"
"南昌大学","China"
"Zhejiang University","China"
"南京农业大学","China"
"吉林省长春中医药大学","China"
"浙江海洋大学","China"
"陕西科技大学","China"
"西北工业大学","China"
"中国中医科学院","China"
"中南大学","China"
"中山大学孙逸仙纪念医院","China"
"Xi'an Jiaotong University","South Korea"
"university of california, davis","United States"
"信阳师范大学","Unknown"
"Faculty of Pharmaceutical Sciences, Chulalongkorn University","Thailand"
"东京科学大学","Japan"
